"X..71.800.","X..19.800.","X..7.900.","X.7..","X.1540.35.","X.no.","X.4.550.","X.100..","X.N.A.","X.N.A..1","X.94..","X.4.1.years.","X..12.500.","X..81.400.","X.93..","X.Nov.1.","X.Jan.1.","X.65..","X.98.."
"$26,900","$17,600","$13,300","76%","1160/24","yes","8,810","60%","17%","$9,260","55%","4.6 years","$17,570","$54,700","74%","N/A","Aug 1","80%","55%"
"$76,100","$38,800","$14,200","37%","1360/30","no","1,910","100%","12%","$11,990","85%","4.1 years","$23,000","$51,300","77%","Nov 15","Jan 15","70%","99%"
"$28,300","$18,600","$15,500","85%","1060/23","no","6,370","N/A","N/A","N/A","58%","4.4 years","$25,000","$46,000","73%","N/A","rolling","56%","N/A"
"$53,400","$19,600","$15,300","78%","1020/21","yes","1,630","68%","8%","$12,900","51%","4.5 years","$26,750","$46,500","82%","Nov 15","July 29","86%","94%"
"$21,300","$10,700","$7,900","81%","1130/23","no","17,660","63%","5%","$1,350","54%","4.5 years","$18,000","$43,400","75%","N/A","July 1","69%","91%"
"$44,900","$21,300","$14,700","83%","1190/25","yes","780","80%","17%","$12,640","70%","4.1 years","$24,190","$41,100","N/A","N/A","N/A","91%","100%"
"$54,900","$23,100","$18,600","67%","1170/24","no","2,080","79%","14%","$17,530","63%","4.2 years","$24,000","$45,100","82%","Nov 1","rolling","96%","100%"
"$25,900","$16,400","$11,400","88%","1180/24","no","17,510","60%","10%","$3,070","58%","4.6 years","$19,500","$51,300","76%","Nov 15","N/A","63%","87%"
"$63,100","$27,800","$21,500","51%","1110/23","no","5,100","61%","13%","$12,920","69%","4.3 years","$25,000","$47,400","78%","N/A","rolling","76%","99%"
"$35,200","$16,000","$10,800","84%","NA/NA","no","730","74%","10%","$6,020","55%","4.1 years","$26,000","$41,200","78%","N/A","rolling","92%","98%"
"$25,600","$14,400","$10,300","64%","NA/NA","no","3,290","83%","10%","$3,880","56%","4.4 years","$25,430","$43,300","69%","N/A","rolling","82%","84%"
"$66,100","$30,800","$13,200","64%","NA/NA","no","1,340","85%","26%","$19,600","68%","4 years","$24,250","$52,000","85%","Nov 15","Feb 15","90%","99%"
"$23,200","$16,500","$15,500","82%","1210/25","no","14,570","74%","10%","$2,020","57%","4.7 years","$23,500","$53,700","73%","N/A","rolling","44%","69%"
"$63,300","$37,200","$28,600","76%","1230/27","yes","4,670","81%","6%","$14,480","74%","4.2 years","$23,000","$58,900","83%","Nov 15","rolling","88%","89%"
"$50,100","$27,000","$21,700","79%","1260/27","no","3,550","73%","38%","$13,010","77%","4.2 years","$24,530","$46,100","76%","N/A","Aug 15","94%","100%"
"$47,300","$18,800","$15,800","64%","1040/22","no","2,100","73%","15%","$18,780","61%","4.3 years","$26,000","$45,800","76%","N/A","rolling","90%","98%"
"$71,900","$38,400","$25,800","77%","1280/28","no","15,560","74%","31%","$16,200","74%","4.7 years","$26,000","$61,000","86%","Nov 1","Jan 15","84%","96%"
"$46,300","$21,800","$14,800","63%","1090/24","no","1,590","83%","5%","$12,570","60%","4.3 years","$26,000","$51,500","70%","Dec 1","N/A","91%","99%"
"$42,800","$21,100","$17,700","92%","1070/22","no","1,240","N/A","N/A","$13,650","70%","4.2 years","$25,500","$43,100","68%","N/A","Aug 15","88%","N/A"
"$69,800","$32,700","$21,800","71%","1230/26","no","1,410","81%","23%","$25,980","79%","4.1 years","$27,000","$47,700","84%","Dec 1","Feb 1","98%","99%"
"$59,000","$31,900","$25,200","68%","NA/NA","no","14,280","64%","19%","$13,940","72%","4.2 years","$24,000","$52,800","79%","Nov 15","Feb 1","83%","96%"
"$26,200","$16,500","$12,000","77%","1200/26","no","23,120","56%","14%","$5,380","66%","4.3 years","$21,500","$50,800","76%","Nov 1","Aug 1","55%","75%"
"$30,300","$15,700","$13,600","93%","990/20","no","8,640","N/A","7%","$6,190","52%","4.5 years","$23,230","$47,000","76%","N/A","June 1","63%","71%"
"$56,500","$24,100","$18,200","55%","1230/25","no","1,280","87%","30%","$25,030","70%","4.1 years","$24,270","$48,900","78%","Nov 1","March 1","99%","100%"
"$50,600","$29,000","$19,500","64%","1170/24","yes","2,730","69%","19%","$13,290","73%","4.1 years","$23,500","$44,800","83%","Dec 1","rolling","97%","100%"
"$24,800","$11,200","$8,100","78%","1000/NA","no","4,650","60%","1%","$5,640","47%","4.7 years","$16,840","$45,900","73%","Nov 1","rolling","63%","86%"
"$49,300","$19,300","$16,700","66%","1100/24","no","830","83%","22%","$15,720","68%","4.2 years","$19,500","$40,200","67%","N/A","rolling","89%","98%"
"$18,500","$9,800","$8,000","61%","1030/20","no","10,300","59%","2%","$5,370","53%","4.6 years","$28,360","$54,000","63%","N/A","rolling","77%","83%"
"$53,400","$21,100","$17,800","73%","1190/22","no","3,240","90%","14%","$19,830","59%","4.2 years","$26,700","$47,100","78%","N/A","N/A","81%","77%"
"$67,000","$27,000","$18,500","58%","1310/29","no","2,920","80%","38%","$24,050","72%","4.5 years","$26,000","$62,800","88%","N/A","Aug 1","98%","100%"
"$62,900","$27,000","$24,200","73%","1170/26","no","11,910","68%","6%","$19,790","61%","4.5 years","$25,000","$51,200","80%","Nov 15","rolling","68%","75%"
"$50,800","$18,600","$13,700","69%","1080/24","yes","900","89%","14%","$23,050","57%","4.2 years","$27,000","$47,100","77%","N/A","rolling","100%","99%"
"$26,300","$15,100","$10,300","88%","1160/25","yes","17,780","74%","26%","$9,830","64%","4.4 years","$19,500","$47,000","75%","N/A","rolling","69%","84%"
"$58,100","$36,000","$30,400","80%","1150/23","no","2,380","N/A","N/A","N/A","64%","4.1 years","$25,990","$50,900","77%","Dec 1","Feb 15","53%","72%"
"$69,600","$46,000","$32,800","68%","1380/31","no","2,070","N/A","N/A","N/A","81%","4.2 years","$26,000","$72,400","93%","Nov 1","Feb 1","96%","N/A"
"$60,800","$29,400","$24,800","78%","NA/NA","no","1,400","N/A","N/A","N/A","57%","4.1 years","$27,000","$58,800","79%","Dec 1","rolling","69%","N/A"
"$25,500","$18,600","$13,000","61%","1260/25","no","14,080","45%","2%","$1,760","73%","4.3 years","$20,500","$43,600","75%","Nov 1","Feb 1","49%","81%"
"$64,200","$36,700","$25,300","39%","1280/29","no","14,160","66%","37%","$15,990","79%","4.2 years","$24,250","$52,600","82%","Nov 1","Feb 1","91%","97%"
"$49,200","$26,000","$19,100","86%","1130/25","no","760","70%","5%","$7,230","72%","4.2 years","$25,000","$49,000","66%","Nov 15","Jan 15","98%","96%"
"$45,300","$27,600","$20,500","73%","1100/23","yes","1,440","76%","18%","$7,000","63%","4.4 years","$25,000","$47,200","76%","N/A","Aug 1","87%","99%"
"$63,500","$29,800","$23,100","82%","NA/NA","no","1,340","81%","20%","$23,560","73%","4.1 years","$27,000","$48,400","85%","Dec 1","N/A","99%","100%"
"$57,500","$20,800","$14,900","66%","1100/22","no","1,130","85%","13%","$26,660","67%","4.2 years","$27,000","$45,100","80%","Nov 15","N/A","99%","100%"
"$60,600","$31,000","$22,900","81%","1110/23","no","1,340","82%","10%","$20,340","65%","4.2 years","$25,000","$51,600","82%","Nov 1","rolling","97%","79%"
"$59,800","$29,700","$25,300","74%","1180/25","no","5,310","48%","20%","$16,240","70%","4.2 years","$25,000","$50,900","84%","N/A","rolling","87%","95%"
"$62,600","$28,300","$18,600","58%","NA/NA","no","1,470","N/A","N/A","N/A","69%","4.2 years","$27,000","$48,600","80%","Nov 15","Feb 15","97%","N/A"
"$51,000","$27,800","$18,600","78%","1170/25","no","1,210","78%","32%","$14,950","69%","4.3 years","$25,250","$46,900","79%","N/A","Feb 15","95%","98%"
"$64,300","$33,400","$23,100","62%","1240/27","yes","1,270","83%","26%","$20,520","75%","4.1 years","$23,000","$47,300","79%","Nov 15","rolling","95%","99%"
"$50,500","$20,300","$16,700","52%","1050/19","yes","990","N/A","N/A","N/A","40%","4.3 years","$21,020","$48,700","79%","N/A","N/A","30%","N/A"
"$42,300","$23,000","$16,600","83%","1150/24","yes","2,750","66%","30%","$11,180","65%","4.2 years","$23,500","$52,900","74%","N/A","rolling","88%","100%"
"$46,800","$26,000","$25,200","95%","NA/NA","no","980","58%","16%","$17,960","71%","4.2 years","$24,950","$42,800","67%","N/A","rolling","94%","99%"
"$36,700","$17,100","$12,800","78%","1070/22","yes","2,310","56%","11%","$2,430","61%","4.5 years","$25,000","$44,500","72%","Dec 1","rolling","74%","88%"
"$65,600","$27,200","$20,200","76%","1120/23","no","1,720","77%","21%","$23,960","66%","4.1 years","$25,000","$46,900","77%","Nov 15","rolling","93%","89%"
"$61,300","$26,600","$16,100","41%","1300/29","no","3,250","69%","30%","$10,690","74%","4.3 years","$23,250","$61,500","77%","Nov 1","rolling","90%","96%"
"$50,600","$22,600","$11,800","73%","1140/25","no","1,730","69%","23%","$15,720","68%","4.1 years","$26,720","$45,000","80%","N/A","July 1","96%","99%"
"$67,500","$39,000","$25,500","41%","1250/28","no","9,410","65%","29%","$18,840","83%","4.2 years","$21,000","$52,800","82%","Nov 1","Feb 1","69%","93%"
"$21,800","$10,900","$8,600","84%","1080/23","no","16,240","73%","1%","$4,010","53%","4.5 years","$22,590","$42,800","70%","N/A","rolling","61%","67%"
"$66,100","$37,700","$32,400","84%","NA/NA","no","3,290","79%","34%","$21,460","76%","4.1 years","$26,000","$52,200","83%","Nov 15","Jan 15","86%","98%"
"$30,800","$16,400","$11,900","84%","1150/24","no","12,610","70%","25%","$13,430","59%","4.5 years","$19,450","$48,700","75%","N/A","N/A","61%","95%"
"$26,200","$12,900","$7,500","84%","1130/25","no","15,480","71%","15%","$4,860","55%","4.7 years","$25,000","$49,000","73%","N/A","rolling","64%","68%"
"$25,600","$13,200","$7,400","71%","1160/24","no","31,380","53%","11%","$5,110","53%","4.5 years","$20,060","$47,900","76%","N/A","rolling","51%","69%"
"$30,800","$20,600","$14,000","94%","1190/26","no","21,750","54%","26%","$9,520","66%","4.4 years","$23,100","$50,500","77%","Dec 1","Feb 15","82%","46%"
"$45,600","$17,500","$14,900","76%","1080/23","no","1,460","76%","12%","$14,830","49%","4.4 years","$23,630","$45,000","74%","N/A","rolling","88%","97%"
"$16,200","$9,300","$7,100","N/A","NA/NA","no","1,110","N/A","N/A","N/A","40%","4.4 years","$17,280","$48,600","68%","N/A","rolling","71%","N/A"
"$49,400","$25,500","$19,100","84%","NA/NA","no","790","79%","13%","$24,040","68%","4.1 years","$27,000","$46,700","78%","Oct 15","rolling","92%","100%"
"$66,100","$31,300","$23,300","70%","NA/NA","no","1,750","70%","24%","$17,990","69%","4.1 years","$25,000","$52,900","80%","Dec 1","Feb 15","98%","99%"
"$68,400","$31,100","$20,700","63%","1240/26","yes","3,670","59%","14%","$16,240","68%","4.3 years","$20,500","$54,800","85%","Nov 15","Aug 15","89%","98%"
"$50,800","$25,800","$19,600","83%","1120/25","no","2,000","81%","10%","$14,100","69%","4.1 years","$26,500","$44,600","84%","N/A","rolling","86%","100%"
"$67,600","$37,400","$27,700","87%","1120/23","no","1,260","67%","18%","$18,550","72%","4.2 years","$27,000","$53,000","77%","N/A","rolling","93%","99%"
"$58,600","$23,500","$17,300","67%","1190/25","no","1,370","83%","17%","$26,220","66%","4.1 years","$27,000","$46,000","83%","Dec 10","March 1","97%","100%"
"$30,900","$19,000","$15,200","78%","1090/23","no","6,650","83%","10%","$4,490","56%","4.4 years","$25,760","$52,800","78%","N/A","rolling","67%","88%"
"$25,700","$17,400","$15,300","57%","1200/26","no","18,010","56%","22%","$4,500","58%","4.5 years","$23,000","$49,900","75%","N/A","Aug 1","80%","88%"
"$25,800","$17,900","$13,300","83%","1150/24","no","21,590","66%","18%","$3,930","66%","4.5 years","$24,750","$44,300","75%","N/A","N/A","66%","83%"
"$53,000","$37,000","$30,300","80%","NA/NA","no","3,030","65%","25%","$10,080","75%","4 years","$27,000","$47,900","82%","N/A","Feb 15","80%","98%"
"$23,500","$18,100","$15,000","86%","1150/23","no","6,230","57%","19%","$2,310","58%","4.4 years","$25,000","$44,800","76%","N/A","rolling","53%","46%"
"$29,800","$22,100","$17,500","82%","NA/NA","no","4,140","57%","22%","$4,430","53%","4.3 years","$26,980","$45,300","75%","N/A","April 1","87%","95%"
"$39,400","$20,600","$16,800","83%","1090/23","yes","980","87%","32%","$9,630","61%","4.2 years","$27,000","$37,600","66%","N/A","Aug 1","80%","98%"
"$41,000","$23,400","$21,100","77%","1240/27","no","1,580","69%","30%","$11,050","65%","4.1 years","$21,830","$43,700","75%","N/A","rolling","75%","90%"
"$18,100","$15,700","$11,500","40%","1120/23","no","9,840","62%","5%","$2,380","62%","4.4 years","$22,330","$42,800","71%","N/A","N/A","68%","91%"
"$25,400","$11,800","$5,300","63%","1070/22","no","1,870","47%","12%","$4,630","53%","4.4 years","$23,100","$46,900","66%","N/A","rolling","76%","88%"
"$60,400","$30,900","$23,800","90%","1140/24","yes","2,860","78%","25%","$25,480","68%","4.3 years","$24,500","$48,600","78%","Nov 15","Feb 1","94%","99%"
"$53,400","$28,400","$23,600","84%","1070/21","no","1,410","N/A","N/A","N/A","63%","4.2 years","$27,000","$45,200","77%","Nov 15","rolling","67%","N/A"
"$72,800","$34,000","$8,700","34%","NA/NA","no","1,350","100%","18%","$17,760","87%","4.1 years","$24,750","$48,200","83%","Nov 15","Jan 15","69%","100%"
"$50,200","$21,500","$18,900","40%","1040/20","yes","1,840","N/A","94%","$8,520","64%","4.1 years","$25,000","$45,100","69%","N/A","rolling","92%","64%"
