"X..71.800.","X..19.800.","X..7.900.","X.7..","X.1540.35.","X.no.","X.4.550.","X.100..","X.N.A.","X.N.A..1","X.94..","X.4.1.years.","X..12.500.","X..81.400.","X.93..","X.Nov.1.","X.Jan.1.","X.65..","X.98.."
"$47,700","$20,900","$20,100","85%","1050/20","yes","2,890","50%","9%","$10,880","66%","4.3 years","$22,300","$44,000","71%","N/A","N/A","79%","77%"
"$25,300","$10,300","$8,400","77%","1040/22","no","1,190","87%","8%","$7,660","48%","4.6 years","$19,400","$48,000","72%","Dec 1","Aug 1","57%","89%"
"$69,300","$35,900","$16,800","56%","1270/29","no","5,790","86%","40%","$18,280","77%","4.1 years","$21,330","$51,500","83%","Nov 1","Jan 15","83%","98%"
"$40,200","$27,100","$18,100","77%","1170/25","yes","2,120","61%","32%","$6,930","76%","4.1 years","$23,410","$45,600","66%","N/A","rolling","92%","100%"
"$61,200","$23,600","$16,700","65%","1270/29","no","1,030","94%","11%","$22,960","64%","4.1 years","$24,380","$47,800","68%","Nov 15","Feb 15","95%","100%"
"$50,300","$26,900","$19,400","86%","NA/NA","no","1,670","58%","22%","$18,000","53%","4.2 years","$26,030","$43,000","76%","N/A","rolling","88%","100%"
"$26,400","$16,200","$13,200","57%","1020/20","no","5,400","48%","3%","$1,810","46%","4.4 years","$22,000","$45,400","69%","N/A","N/A","67%","69%"
"$64,900","$32,800","$29,900","69%","1110/23","no","3,200","72%","17%","$24,680","63%","4.2 years","$27,000","$54,000","80%","N/A","rolling","84%","97%"
"$64,800","$23,700","$17,100","72%","1280/30","no","1,190","N/A","N/A","N/A","71%","4.1 years","$27,000","$41,900","69%","Nov 15","June 1","100%","N/A"
"$61,100","$39,600","$27,000","68%","1250/28","no","4,550","66%","37%","$15,940","72%","4.1 years","$26,600","$49,600","85%","Nov 1","Feb 1","92%","98%"
"$74,800","$33,400","$15,500","35%","1420/32","no","1,460","100%","N/A","N/A","81%","4.2 years","$13,470","$52,400","71%","Nov 15","Jan 1","50%","98%"
"$24,200","$13,700","$10,200","95%","NA/NA","no","2,960","64%","1%","$3,180","55%","4.3 years","$16,560","$44,500","59%","N/A","rolling","66%","87%"
"$45,000","$17,300","$15,600","93%","1050/21","yes","1,770","72%","10%","$5,450","53%","4.3 years","$25,750","$42,200","75%","N/A","rolling","88%","99%"
"$38,900","$19,000","$14,700","81%","1060/21","yes","3,940","79%","17%","$10,510","54%","4.4 years","$22,250","$43,700","75%","N/A","rolling","90%","94%"
"$65,700","$30,000","$13,700","54%","1250/28","no","2,000","93%","32%","$25,590","75%","4 years","$25,800","$43,100","82%","Nov 1","Feb 15","96%","97%"
"$28,700","$17,900","$12,900","72%","1180/26","no","14,490","59%","15%","$8,440","57%","4.5 years","$20,530","$48,100","73%","N/A","rolling","84%","91%"
"$32,700","$21,800","$14,900","86%","1170/25","no","22,500","51%","7%","$7,370","67%","4.4 years","$23,250","$47,500","75%","N/A","Jan 15","55%","79%"
"$66,900","$35,000","$22,800","84%","NA/NA","no","1,620","78%","34%","$22,310","74%","4.1 years","$24,490","$45,400","82%","Nov 15","Jan 15","90%","99%"
"$76,500","$45,300","$14,700","36%","1390/30","no","2,790","100%","49%","$17,000","86%","4.1 years","$26,000","$47,000","67%","Nov 15","Jan 15","85%","85%"
"$56,200","$38,800","$32,400","86%","NA/NA","no","4,350","81%","30%","$12,690","70%","4.1 years","$26,800","$51,700","83%","Nov 15","Feb 1","81%","58%"
"$52,700","$18,700","$14,200","81%","1000/19","yes","1,620","65%","5%","$13,430","46%","4.5 years","$25,000","$49,400","75%","N/A","rolling","90%","82%"
"$50,000","$22,900","$19,300","87%","NA/NA","no","2,470","79%","10%","$14,460","61%","4.2 years","$23,550","$43,000","77%","Dec 1","May 1","95%","76%"
"$22,300","$16,500","$13,000","85%","1120/24","no","16,950","67%","13%","$3,240","54%","4.5 years","$22,690","$42,600","73%","N/A","N/A","53%","80%"
"$62,800","$36,600","$29,900","68%","1220/28","no","11,730","83%","31%","$17,530","74%","4.1 years","$25,000","$50,100","83%","N/A","N/A","88%","95%"
"$24,000","$12,800","$9,900","81%","1120/24","no","6,830","39%","14%","$6,580","56%","4.5 years","$22,430","$42,800","68%","N/A","rolling","81%","89%"
"$56,200","$30,300","$24,100","80%","1080/21","no","1,650","52%","15%","$12,600","61%","4.1 years","$27,000","$45,700","75%","Nov 15","rolling","91%","100%"
"$27,400","$19,600","$16,700","97%","1000/20","no","5,060","51%","2%","$4,150","54%","4.3 years","$24,870","$42,300","73%","N/A","rolling","67%","80%"
"$75,300","$35,700","$20,400","57%","NA/NA","no","720","84%","31%","$26,900","74%","4.1 years","$26,850","$47,900","52%","Nov 15","Jan 15","90%","100%"
"$68,000","$34,500","$22,300","32%","1300/29","no","7,490","71%","8%","$14,410","80%","4.6 years","$23,290","$49,700","84%","Nov 15","Nov 15","56%","90%"
"$64,000","$30,300","$16,200","80%","NA/NA","no","1,520","82%","27%","$20,580","71%","4.1 years","$25,640","$42,700","75%","Nov 15","Feb 1","97%","100%"
"$61,200","$31,700","$24,100","85%","1160/24","no","1,820","76%","17%","$20,270","65%","4.1 years","$25,000","$47,700","79%","N/A","N/A","91%","96%"
"$26,300","$11,000","$6,900","78%","1180/27","no","6,970","72%","13%","$5,440","56%","4.8 years","$24,350","$54,400","76%","N/A","rolling","69%","90%"
"$22,500","$16,400","$13,500","88%","1070/22","yes","1,450","74%","10%","$1,620","50%","4.5 years","$22,620","$42,000","67%","N/A","rolling","36%","85%"
"$44,600","$27,200","$20,500","49%","NA/NA","no","940","44%","36%","$22,110","70%","4.2 years","$25,000","$42,700","72%","Nov 15","Feb 15","100%","58%"
"$23,900","$15,300","$14,000","39%","1110/21","yes","7,710","62%","2%","$10,010","51%","4.8 years","$25,730","$47,500","68%","N/A","N/A","74%","83%"
"$52,600","$33,400","$28,000","69%","1220/27","no","3,130","64%","20%","$11,040","77%","4.1 years","$22,810","$45,700","77%","Nov 15","Feb 15","83%","97%"
"$29,800","$20,500","$17,600","88%","1070/20","no","5,340","55%","8%","$5,460","53%","4.4 years","$25,500","$46,200","79%","N/A","rolling","57%","76%"
"$52,200","$30,100","$23,800","75%","1170/26","yes","1,590","74%","32%","$17,280","70%","4.2 years","$26,900","$43,300","73%","N/A","rolling","98%","100%"
"$13,500","$3,600","$1,600","59%","970/19","no","1,550","62%","N/A","N/A","42%","4.7 years","$26,590","$37,600","56%","N/A","N/A","86%","96%"
"$55,100","$23,600","$17,500","76%","1090/23","no","1,470","82%","23%","$23,710","67%","4.1 years","$27,000","$47,600","82%","N/A","rolling","96%","100%"
"$75,200","$43,300","$34,800","54%","1280/28","no","7,030","72%","6%","$17,450","79%","4.1 years","$21,250","$49,800","78%","Nov 1","Jan 15","81%","92%"
"$26,800","$16,400","$14,900","74%","1110/23","no","1,260","79%","10%","$3,200","56%","4.2 years","$23,890","$41,800","64%","N/A","rolling","77%","80%"
"$40,600","$21,200","$15,600","63%","1120/24","yes","1,260","77%","16%","$11,500","64%","4.1 years","$25,000","$46,200","71%","N/A","rolling","97%","100%"
"$58,300","$34,200","$26,000","73%","1160/24","no","4,010","54%","32%","$10,230","73%","4.3 years","$24,810","$47,100","72%","Nov 15","March 1","99%","99%"
"$47,600","$24,700","$19,700","65%","1120/24","no","1,330","71%","17%","$11,460","68%","4.1 years","$22,750","$46,100","70%","Nov 15","rolling","95%","95%"
"$62,100","$43,200","$36,100","60%","NA/NA","no","5,910","57%","32%","$13,130","70%","4.1 years","$25,440","$53,300","85%","Dec 1","rolling","90%","99%"
"$74,400","$27,700","$16,700","65%","NA/NA","no","1,800","79%","2%","$23,250","75%","4.1 years","$26,000","$46,200","65%","Nov 1","Jan 1","67%","96%"
"$23,700","$14,100","$12,800","38%","NA/NA","no","5,200","43%","1%","$120","42%","4.8 years","$21,500","$49,100","74%","N/A","April 1","64%","78%"
"$30,600","$21,400","$19,300","59%","1170/27","yes","32,180","55%","27%","$16,710","72%","4.3 years","$23,250","$49,900","77%","N/A","May 1","58%","75%"
"$31,300","$20,300","$17,700","78%","1090/NA","no","6,600","58%","5%","$3,160","60%","4.4 years","$24,250","$45,400","78%","N/A","rolling","55%","71%"
"$51,100","$21,300","$14,600","61%","1110/23","yes","2,230","77%","16%","$13,310","57%","4.4 years","$26,130","$50,000","74%","N/A","N/A","67%","100%"
"$49,200","$32,000","$25,100","82%","1170/26","no","3,520","70%","46%","$11,160","76%","4.2 years","$19,300","$45,200","79%","N/A","April 30","92%","97%"
"$51,700","$29,300","$24,300","91%","NA/NA","no","6,570","67%","18%","$7,310","63%","4.2 years","$24,500","$46,300","69%","N/A","N/A","91%","86%"
"$59,500","$33,700","$28,100","77%","1190/26","no","1,980","72%","18%","$17,390","66%","4.1 years","$27,000","$48,800","82%","Nov 1","Feb 15","93%","91%"
"$26,500","$12,600","$9,500","61%","950/NA","no","7,940","N/A","N/A","N/A","48%","4.5 years","$21,020","$41,600","71%","N/A","rolling","75%","N/A"
"$55,700","$32,600","$27,100","74%","1160/25","no","4,960","66%","12%","$17,530","73%","4.1 years","$26,000","$49,500","83%","N/A","rolling","92%","64%"
"$52,600","$21,300","$18,000","66%","1080/22","no","1,830","85%","17%","$21,460","64%","4.1 years","$26,190","$41,500","78%","N/A","N/A","99%","100%"
"$49,900","$23,600","$23,700","63%","NA/NA","no","1,650","56%","3%","$18,620","76%","4.1 years","$23,000","$42,900","58%","N/A","rolling","93%","94%"
"$53,600","$26,800","$17,300","55%","NA/NA","no","1,060","64%","6%","$19,100","63%","4.2 years","$20,940","$41,800","68%","N/A","Aug 1","82%","95%"
"$38,400","$22,900","$21,500","60%","1060/22","yes","880","67%","9%","$10,300","57%","4.2 years","$25,000","$36,200","54%","N/A","rolling","58%","100%"
"$59,900","$34,700","$30,500","84%","1130/23","no","5,040","59%","15%","$17,030","64%","4.2 years","$27,000","$50,000","84%","Dec 1","rolling","89%","99%"
"$28,100","$21,000","$17,800","73%","1270/27","no","25,970","39%","19%","$4,550","67%","4.5 years","$21,750","$52,500","73%","Dec 1","rolling","54%","67%"
"$37,100","$24,000","$19,700","84%","NA/NA","no","3,600","52%","9%","$4,530","54%","4.3 years","$23,250","$45,900","77%","N/A","rolling","70%","86%"
"$53,600","$27,300","$22,000","89%","1210/27","no","990","78%","27%","$17,750","75%","4.1 years","$26,660","$43,400","81%","Nov 1","rolling","99%","100%"
"$48,700","$26,000","$28,100","72%","NA/NA","no","1,560","N/A","17%","$10,210","57%","4.2 years","$26,910","$46,200","76%","N/A","rolling","89%","100%"
"$31,200","$24,300","$19,100","67%","NA/NA","no","1,830","N/A","27%","$4,880","63%","4.2 years","$26,000","$47,900","64%","Dec 1","Feb 1","74%","79%"
"$33,200","$17,100","$15,900","53%","1020/19","yes","2,850","67%","10%","$5,970","46%","4.1 years","$27,840","$40,300","73%","N/A","Aug 18","77%","92%"
"$62,000","$40,800","$31,500","70%","1280/28","no","1,860","63%","N/A","$16,050","63%","5.1 years","$28,730","$69,900","92%","N/A","rolling","97%","99%"
"$57,600","$28,100","$23,100","82%","970/19","yes","870","61%","13%","$10,880","48%","4.3 years","$25,000","$52,600","80%","N/A","rolling","78%","98%"
"$48,900","$25,400","$21,700","69%","1000/19","no","1,910","68%","14%","$12,320","47%","4.4 years","$27,000","$49,200","76%","N/A","rolling","80%","99%"
"$49,500","$25,600","$19,200","72%","1140/25","no","1,840","69%","22%","$15,720","63%","4.2 years","$25,000","$44,800","83%","Dec 1","Aug 15","89%","98%"
"$44,200","$23,900","$26,100","98%","1050/22","no","1,620","67%","30%","$12,100","58%","4.3 years","$23,250","$43,700","68%","N/A","rolling","86%","92%"
"$47,100","$26,700","$22,000","63%","1110/23","yes","2,290","69%","19%","$14,490","67%","4.2 years","$25,500","$45,000","78%","N/A","rolling","93%","99%"
"$45,000","$23,400","$19,300","96%","1080/23","yes","2,160","78%","18%","$12,020","64%","4.2 years","$27,000","$45,400","79%","N/A","rolling","96%","100%"
"$29,500","$21,400","$16,600","78%","1200/25","no","5,830","60%","4%","$2,100","64%","4.3 years","$23,250","$45,600","74%","Oct 15","rolling","80%","37%"
"$44,300","$22,700","$17,000","80%","1110/23","yes","1,040","80%","16%","$12,920","63%","4.3 years","$25,990","$42,600","74%","N/A","rolling","92%","99%"
"$25,100","$14,900","$12,200","64%","1010/20","yes","3,140","62%","1%","$3,170","43%","4.4 years","$15,250","$45,800","66%","Dec 1","rolling","69%","89%"
"$58,000","$30,300","$23,500","66%","1040/22","no","1,050","65%","13%","$11,930","52%","4.5 years","$29,250","$49,900","73%","N/A","rolling","76%","93%"
"$62,500","$29,400","$21,600","72%","1140/25","no","1,980","82%","23%","$22,760","67%","4.1 years","$27,000","$44,800","80%","Nov 15","rolling","98%","98%"
"$63,900","$35,200","$27,800","59%","1150/25","no","1,070","80%","31%","$17,970","66%","4.1 years","$27,000","$55,600","84%","Nov 1","N/A","99%","100%"
"$47,100","$32,700","$27,300","81%","1120/25","no","1,290","60%","17%","$8,500","69%","4.1 years","$27,000","$49,300","78%","N/A","rolling","69%","72%"
"$68,200","$37,100","$19,800","74%","NA/NA","no","2,010","85%","33%","$18,690","75%","4.1 years","$21,500","$45,500","76%","Nov 1","Jan 15","91%","100%"
"$59,800","$29,200","$23,800","61%","1200/27","no","1,020","81%","30%","$22,580","76%","4.1 years","$27,000","$44,200","73%","Nov 1","N/A","98%","100%"
"$52,000","$19,200","$14,700","70%","1070/21","no","960","73%","11%","$19,130","60%","4.2 years","$27,000","$35,300","73%","Nov 15","rolling","97%","100%"
"$55,600","$23,800","$19,000","64%","1130/23","no","1,400","71%","15%","$22,920","64%","4.2 years","$27,000","$46,600","74%","N/A","rolling","97%","99%"
"$42,200","$28,900","$31,500","N/A","NA/NA","no","17,810","82%","31%","$1,130","56%","4.1 years","$25,030","$44,300","56%","N/A","rolling","82%","100%"
"$47,900","$21,100","$16,700","77%","1030/21","no","1,430","68%","13%","$10,530","43%","4.3 years","$25,000","$49,700","77%","N/A","rolling","94%","99%"
"$42,100","$22,500","$19,600","N/A","NA/NA","no","810","85%","10%","$10,700","48%","4.1 years","$26,730","$43,000","74%","N/A","N/A","47%","100%"
"$28,700","$20,200","$16,900","94%","1040/20","yes","3,850","50%","7%","$2,290","56%","4.3 years","$26,880","$42,600","69%","N/A","rolling","69%","77%"
"$50,800","$26,000","$21,900","68%","1110/21","no","1,840","81%","5%","$13,450","63%","4.1 years","$26,660","$43,300","72%","N/A","rolling","90%","85%"
"$28,600","$23,100","$18,600","83%","1060/21","yes","7,340","44%","4%","$1,400","55%","4.3 years","$26,000","$42,800","73%","N/A","rolling","62%","62%"
"$54,800","$30,300","$22,500","63%","1150/25","no","2,100","N/A","14%","$14,260","72%","4.1 years","$26,000","$40,400","77%","Dec 1","April 1","96%","100%"
"$51,600","$31,300","$23,900","82%","1130/24","no","2,670","85%","23%","$14,090","67%","4.2 years","$24,250","$49,900","75%","Nov 15","rolling","89%","96%"
"$48,700","$24,600","$17,500","74%","1140/24","no","3,060","86%","23%","$14,950","64%","4.3 years","$27,000","$45,300","81%","N/A","rolling","91%","98%"
"$25,800","$18,300","$15,200","72%","990/22","yes","13,730","79%","20%","$5,160","55%","4.4 years","$25,250","$45,400","74%","N/A","July 15","71%","82%"
"$27,200","$17,400","$15,200","92%","1110/25","yes","13,190","55%","22%","$7,770","58%","4.5 years","$22,500","$47,300","73%","N/A","rolling","63%","66%"
"$26,700","$16,600","$13,600","81%","1090/23","no","17,520","72%","10%","$5,560","53%","4.7 years","$26,000","$49,200","77%","N/A","rolling","56%","89%"
"$45,700","$20,700","$17,300","87%","1090/22","no","1,310","63%","9%","$8,540","53%","4.3 years","$27,000","$40,900","70%","N/A","rolling","80%","100%"
"$39,800","$21,200","$15,200","68%","1120/24","no","2,650","92%","10%","$9,800","66%","4.2 years","$24,250","$46,400","80%","N/A","N/A","83%","81%"
"$55,700","$30,400","$14,400","69%","1130/24","no","5,550","61%","20%","$10,300","63%","4.3 years","$24,500","$46,900","76%","Nov 15","June 1","90%","30%"
"$51,300","$22,700","$19,300","58%","1060/22","no","930","69%","9%","$12,750","58%","4.1 years","$27,000","$42,200","77%","N/A","rolling","73%","99%"
"$67,400","$41,800","$28,900","88%","NA/NA","no","2,360","77%","45%","$17,440","75%","4.1 years","$25,000","$48,700","81%","N/A","N/A","99%","99%"
"$65,400","$33,900","$30,600","63%","1240/27","no","6,620","68%","25%","$20,000","63%","4.2 years","$23,990","$52,400","79%","Dec 15","rolling","87%","96%"
"$47,500","$25,300","$19,400","91%","1120/23","yes","970","71%","10%","$4,880","65%","4.2 years","$24,760","$37,100","63%","N/A","Aug 1","93%","99%"
"$53,200","$25,300","$20,300","76%","1100/24","no","1,810","73%","16%","$16,670","67%","4.3 years","$27,000","$43,000","69%","N/A","rolling","90%","99%"
"$55,600","$26,400","$22,800","96%","1030/18","no","1,280","60%","10%","$15,210","60%","4.2 years","$26,000","$42,900","75%","N/A","rolling","87%","96%"
"$69,400","$46,900","$44,400","51%","1180/28","no","3,590","55%","35%","$18,750","72%","4.4 years","$25,840","$50,300","67%","N/A","N/A","74%","48%"
"$26,700","$15,100","$13,100","71%","1160/24","no","26,490","51%","N/A","N/A","54%","4.6 years","$21,250","$49,000","73%","Nov 15","March 1","76%","75%"
"$44,300","$21,100","$17,900","47%","1060/22","no","1,970","N/A","N/A","N/A","60%","4.3 years","$25,000","$43,300","71%","N/A","rolling","94%","N/A"
"$58,400","$29,800","$20,900","68%","1110/22","no","1,820","75%","23%","$19,680","64%","4 years","$26,750","$44,200","83%","Dec 1","March 1","94%","100%"
"$43,200","$22,800","$18,400","81%","1040/21","yes","880","N/A","20%","$10,660","63%","4.2 years","$25,000","$42,200","74%","N/A","rolling","89%","68%"
"$44,900","$22,700","$17,200","99%","1010/19","yes","1,260","93%","4%","$19,620","54%","4.3 years","$25,000","$42,600","72%","N/A","rolling","76%","74%"
"$43,000","$27,800","$23,600","94%","NA/NA","no","730","72%","15%","$9,600","65%","4.1 years","$27,000","$40,700","63%","Dec 15","rolling","99%","100%"
"$69,900","$48,100","$39,300","36%","1300/29","no","3,820","49%","16%","$13,850","79%","4.1 years","$23,250","$46,400","73%","Nov 1","Jan 15","64%","91%"
"$31,000","$20,500","$15,600","79%","1160/25","no","9,620","53%","21%","$12,250","71%","4.2 years","$21,610","$44,000","71%","Nov 1","Feb 15","58%","71%"
"$60,100","$32,500","$28,500","93%","1030/20","yes","2,340","69%","18%","$16,230","53%","4.2 years","$26,000","$49,100","76%","N/A","rolling","88%","100%"
"$50,900","$27,000","$22,100","88%","NA/NA","no","1,030","62%","18%","$13,420","62%","4.1 years","$27,000","$43,100","57%","N/A","rolling","100%","99%"
"$52,800","$24,900","$21,300","75%","NA/NA","no","1,670","74%","17%","$16,080","65%","4.2 years","$27,000","$43,600","77%","N/A","Aug 15","74%","97%"
"$50,800","$26,900","$21,300","60%","1190/26","no","2,910","62%","31%","$17,050","65%","4.2 years","$22,380","$47,500","75%","N/A","rolling","79%","99%"
"$39,600","$19,500","$16,600","64%","1150/25","no","1,550","85%","30%","$14,040","64%","4.1 years","$20,670","$38,100","72%","N/A","N/A","98%","98%"
"$38,900","$29,600","$30,000","44%","NA/NA","no","3,660","46%","2%","$6,990","58%","4.3 years","$26,000","$51,800","74%","Nov 1","March 1","74%","96%"
"$31,800","$19,200","$14,500","83%","1040/20","no","2,680","67%","14%","$3,790","54%","4.6 years","$27,000","$41,100","N/A","N/A","Aug 15","86%","84%"
"$40,800","$20,900","$17,300","60%","1060/23","no","8,480","78%","25%","$8,530","50%","4.2 years","$26,000","$43,000","74%","N/A","rolling","66%","100%"
"$38,900","$17,300","$17,300","54%","1060/21","yes","1,180","75%","N/A","N/A","51%","4.2 years","$26,000","$43,100","71%","N/A","Aug 1","78%","100%"
"$52,700","$40,800","$45,000","73%","NA/NA","no","80,170","64%","19%","$12,040","52%","4.1 years","$18,750","$47,100","77%","Nov 15","rolling","51%","62%"
"$37,300","$28,100","$28,400","69%","NA/NA","no","1,920","N/A","N/A","N/A","59%","4.1 years","$40,800","$45,100","68%","N/A","rolling","54%","N/A"
"$53,300","$29,900","$23,500","62%","1130/24","yes","1,780","63%","20%","$11,760","63%","4.1 years","$22,220","$45,600","73%","Feb 15","July 27","80%","86%"
"$51,400","$31,200","$20,900","64%","NA/NA","no","2,250","82%","17%","$18,880","66%","4.2 years","$26,000","$41,500","78%","Nov 15","Feb 1","98%","100%"
"$27,600","$19,300","$17,000","94%","1020/22","no","3,020","87%","1%","$2,350","54%","4.4 years","$26,980","$41,600","73%","N/A","rolling","66%","69%"
"$63,200","$28,100","$19,500","86%","1180/25","no","3,760","67%","5%","$17,930","63%","4.2 years","$25,000","$44,200","79%","N/A","rolling","87%","92%"
"$49,600","$26,800","$23,400","84%","1120/25","yes","3,980","71%","17%","$12,840","64%","4.2 years","$27,000","$48,900","80%","N/A","rolling","82%","98%"
"$52,100","$19,900","$15,700","67%","1050/20","no","1,630","77%","18%","$21,750","57%","4.5 years","$26,600","$43,600","73%","Dec 1","April 1","98%","98%"
"$60,700","$28,400","$24,000","68%","1140/24","no","2,750","79%","18%","$24,270","64%","4.1 years","$26,690","$46,400","77%","N/A","rolling","95%","100%"
"$25,200","$13,500","$10,500","78%","990/20","no","3,130","12%","2%","$1,940","44%","4.2 years","$20,000","$41,300","63%","N/A","rolling","78%","84%"
"$54,100","$22,100","$21,000","68%","1010/19","no","1,310","70%","N/A","N/A","47%","4.9 years","$27,500","$48,800","76%","N/A","Sept 7","97%","99%"
"$50,900","$28,800","$24,600","57%","1140/24","no","3,520","68%","34%","$17,020","67%","4.2 years","$24,410","$46,700","73%","N/A","Feb 15","97%","99%"
"$53,800","$26,000","$18,200","66%","1210/26","no","1,910","84%","28%","$16,350","66%","4.1 years","$23,250","$40,200","72%","N/A","July 20","99%","100%"
"$45,300","$28,000","$18,700","76%","1190/26","yes","1,690","62%","11%","$15,420","64%","4.2 years","$21,330","$44,900","72%","N/A","rolling","87%","96%"
"$22,300","$13,000","$13,100","97%","1090/24","yes","13,960","17%","14%","$6,480","53%","4.5 years","$23,100","$43,900","64%","N/A","N/A","78%","62%"
"$53,700","$29,300","$24,100","63%","1130/23","no","720","68%","18%","$11,170","64%","4.2 years","$27,000","$43,100","66%","Dec 1","May 1","98%","99%"
"$53,000","$18,400","$39,000","82%","NA/NA","no","820","85%","7%","$16,800","59%","4.1 years","$26,380","$36,600","69%","N/A","rolling","87%","100%"
"$40,400","$36,300","$35,700","52%","960/22","yes","2,530","85%","26%","$6,500","42%","4.2 years","$31,000","$59,700","62%","N/A","April 15","61%","72%"
"$35,300","$28,100","$25,200","57%","1130/26","no","1,270","74%","39%","$23,000","68%","4.1 years","$26,000","$48,600","73%","Nov 15","N/A","99%","63%"
"$55,000","$29,700","$25,500","57%","1240/27","yes","2,060","68%","18%","$13,810","71%","4.1 years","$25,000","$45,400","75%","N/A","rolling","72%","72%"
"$29,400","$20,500","$18,300","93%","1020/20","yes","9,070","56%","4%","$1,860","56%","4.3 years","$27,000","$45,600","72%","N/A","rolling","69%","66%"
"$53,700","$22,100","$18,800","72%","1260/28","no","4,770","86%","27%","$19,780","66%","4.3 years","$25,000","$50,500","79%","March 1","July 1","91%","99%"
"$73,000","$50,600","$38,900","57%","1260/27","no","7,270","N/A","N/A","N/A","72%","4.3 years","$24,250","$47,200","66%","N/A","N/A","84%","N/A"
"$54,600","$24,900","$19,900","60%","NA/NA","no","2,370","50%","17%","$15,580","68%","4.1 years","$27,000","$44,000","73%","N/A","rolling","99%","100%"
"$61,000","$40,800","$32,000","42%","1080/24","no","1,360","N/A","N/A","N/A","62%","4.3 years","$27,000","$48,500","68%","N/A","N/A","100%","N/A"
"$55,300","$28,100","$22,800","78%","NA/NA","no","2,120","73%","14%","$17,810","63%","4.1 years","$27,000","$41,700","82%","Dec 1","rolling","86%","100%"
"$25,000","$13,000","$11,900","47%","980/19","no","5,910","57%","1%","$6,220","46%","4.6 years","$31,000","$41,300","60%","N/A","Aug 1","78%","90%"
"$69,600","$34,300","$25,000","67%","NA/NA","no","2,570","84%","31%","$22,480","74%","4.1 years","$26,400","$47,100","73%","Nov 15","Feb 1","88%","93%"
"$30,000","$23,100","$17,200","78%","1170/24","no","22,070","49%","9%","$4,610","64%","4.3 years","$20,910","$49,200","71%","Dec 1","Feb 1","60%","80%"
"$60,500","$34,500","$31,600","73%","1150/22","no","660","60%","13%","$14,170","64%","4.1 years","$27,000","$45,800","66%","N/A","N/A","94%","100%"
"$29,900","$18,700","$16,200","67%","1060/23","yes","4,550","56%","13%","$4,330","56%","4.4 years","$27,000","$41,800","69%","N/A","N/A","81%","93%"
"$57,300","$28,500","$22,500","67%","1130/24","no","1,480","81%","28%","$21,310","66%","4.1 years","$27,000","$41,800","81%","Nov 15","March 1","99%","100%"
"$38,400","$19,000","$18,100","58%","1100/23","yes","2,440","72%","N/A","N/A","49%","4.3 years","$24,250","$39,600","78%","N/A","July 1","83%","93%"
"$45,600","$19,300","$16,500","N/A","NA/NA","no","910","26%","17%","$2,520","45%","4.1 years","$22,880","$42,400","74%","N/A","N/A","88%","99%"
"$47,500","$22,700","$16,300","65%","1090/23","no","3,170","71%","6%","$13,040","59%","4.1 years","$27,000","$42,800","66%","N/A","rolling","92%","98%"
"$58,100","$25,200","$20,800","59%","1170/25","no","790","78%","29%","$25,900","64%","4.1 years","$27,000","$46,800","81%","Nov 15","rolling","98%","99%"
"$74,300","$41,800","$27,400","56%","1330/30","no","1,370","76%","19%","$16,520","73%","4.2 years","$17,000","$46,200","70%","Nov 1","Jan 15","79%","98%"
"$26,900","$14,300","$14,700","N/A","NA/NA","no","1,000","51%","4%","$13,670","41%","4.1 years","$26,420","$33,600","42%","N/A","rolling","93%","96%"
"$55,500","$26,800","$23,100","74%","NA/NA","no","1,130","N/A","4%","$13,180","46%","4.3 years","$24,500","$44,600","75%","N/A","rolling","91%","87%"
"$69,000","$52,800","$44,200","67%","NA/NA","no","1,560","50%","31%","$11,340","72%","4.2 years","$27,000","$45,700","59%","Nov 1","rolling","92%","100%"
"$46,800","$21,400","$18,300","65%","1030/20","no","700","75%","13%","$13,860","49%","4.2 years","$26,750","$39,200","66%","Dec 1","rolling","73%","100%"
"$41,700","$21,100","$19,600","98%","990/20","yes","1,330","N/A","N/A","N/A","46%","4.3 years","$26,440","$42,000","67%","N/A","rolling","95%","N/A"
"$61,200","$40,300","$27,000","75%","1190/25","no","3,690","69%","8%","$14,220","64%","4.2 years","$26,030","$48,700","77%","Nov 15","Jan 15","67%","92%"
"$41,900","$25,300","$24,600","55%","1030/21","yes","840","65%","10%","$10,920","51%","4.2 years","$25,400","$45,700","64%","N/A","rolling","68%","96%"
"$26,700","$18,300","$13,700","85%","1120/23","no","21,790","56%","11%","$5,470","59%","4.4 years","$25,000","$43,600","68%","N/A","rolling","70%","54%"
"$53,300","$27,300","$22,100","50%","1220/26","no","2,670","77%","32%","$24,110","64%","4.1 years","$25,000","$43,400","74%","Nov 1","May 1","96%","100%"
"$54,000","$38,300","$27,000","82%","1210/27","no","6,620","56%","27%","$7,990","73%","4.2 years","$20,640","$43,900","74%","N/A","rolling","73%","92%"
"$29,700","$18,100","$16,800","N/A","NA/NA","no","3,660","N/A","1%","$3,090","45%","4.9 years","$24,700","$51,700","60%","N/A","Aug 1","57%","77%"
"$26,600","$14,300","$13,700","49%","940/18","yes","2,110","39%","3%","$9,390","47%","4.5 years","$31,000","$48,400","62%","N/A","rolling","91%","80%"
"$45,600","$15,500","$25,800","77%","NA/NA","no","2,320","61%","20%","$9,300","55%","4.5 years","$25,140","$45,400","73%","N/A","N/A","97%","98%"
